"Private"	"Apps"	"Accept"	"Enroll"	"Top10perc"	"Top25perc"	"F.Undergrad"	"P.Undergrad"	"Outstate"	"Room.Board"	"Books"	"Personal"	"PhD"	"Terminal"	"S.F.Ratio"	"perc.alumni"	"Expend"	"Grad.Rate"
2	1660	1232	721	23	52	2885	537	7440	3300	450	2200	70	78	18.1	12	7041	60
2	193	146	55	16	44	249	869	7560	4120	800	1500	76	72	11.9	2	10922	15
2	353	340	103	17	45	416	230	13290	5720	500	1500	90	93	11.5	26	8861	63
2	582	498	172	21	44	799	78	10468	3380	660	1800	40	41	11.5	15	8991	52
2	1216	908	423	19	40	1819	281	10100	3520	550	1100	48	61	12.1	14	7994	59
2	1130	704	322	14	23	1586	326	9996	3090	900	1320	62	66	11.5	18	10908	46
1	3540	2001	1016	24	54	4190	1512	5130	3592	500	2000	60	62	23.1	5	4010	34
1	12809	10308	3761	24	49	22593	7585	7434	4850	700	2100	88	93	18.9	5	4602	48
2	761	725	306	21	58	1337	300	10990	3244	600	1021	66	70	10.4	30	6871	69
2	948	798	295	42	74	1120	15	11280	4342	400	1150	81	95	13	33	11361	71
2	602	483	206	21	47	958	466	8620	4100	400	2250	58	68	11	21	6136	65
2	1910	838	285	50	85	1004	15	19264	6206	750	750	98	98	10.4	30	13894	79
2	1163	850	348	23	56	878	519	12850	5400	400	800	78	89	12.2	30	8954	73
2	1220	974	481	28	67	1964	623	7800	3664	650	900	61	61	11.1	19	7614	49
2	632	620	222	14	24	702	501	9550	3850	350	250	64	84	14.1	18	5922	58
2	202	184	122	19	42	537	101	8540	3580	500	1400	61	80	8.8	32	8324	56
2	805	588	287	67	88	1376	207	11660	4325	400	900	74	79	14	34	8649	72
1	6773	3028	1025	15	55	5847	946	7844	2948	500	1680	66	68	18	19	7041	75
2	377	358	181	15	30	653	129	7150	4350	450	1500	61	67	17.8	3	6259	53
2	367	274	158	12	41	917	479	9592	5879	500	700	71	80	13.7	12	5935	49
2	1436	1228	1202	10	26	1320	822	4371	2370	500	2000	62	62	12.6	10	4900	18
2	838	673	292	22	53	881	55	10265	4725	560	875	68	73	13.2	24	8655	82
2	7365	5402	4615	48	82	27378	1253	2340	3580	860	1220	76	76	20.5	40	7916	33
2	12586	3239	1462	87	95	5643	349	19528	5926	720	1100	99	100	7.6	39	20440	97
2	6548	3813	862	49	85	3316	31	18550	4750	800	1200	95	97	14.2	36	13675	93
2	1784	1512	913	29	56	3401	136	10230	3710	400	1210	75	81	14.8	41	7786	81
2	2087	1339	657	20	54	3191	1204	7550	2790	600	500	77	77	21.8	34	3739	63
2	848	587	298	25	55	935	184	6060	3070	600	1300	62	66	17.7	13	5391	49
2	1160	991	352	19	55	1357	737	12200	3880	480	930	74	81	17.8	25	7666	79
2	1096	951	464	27	62	1776	239	8150	3150	400	500	61	62	13.6	16	6716	67
2	1616	1427	434	20	43	1405	580	13125	3775	500	1300	74	89	15.9	22	7364	62
2	3877	3156	713	71	93	3051	513	15700	4730	525	1460	95	95	2.9	29	19733	67
2	1307	1090	616	25	55	2196	82	7344	4410	570	1000	50	52	15.3	34	6897	64
1	4158	2532	902	6	24	6394	3881	5962	4444	500	985	69	73	16.7	4	4900	49
1	2785	2011	1007	8	65	6507	898	7242	3603	654	1416	67	89	18.1	0	6413	51
2	959	771	351	23	48	1662	209	16624	5895	600	1100	72	80	12.8	6	12692	47
2	342	254	126	25	64	518	232	10335	5015	700	850	71	71	8.3	29	7729	73
2	880	520	224	16	42	1068	364	9300	3260	600	900	81	81	11.1	24	8129	63
1	883	766	428	3	37	2910	1749	7860	4750	525	1889	80	82	21.2	16	4639	48
2	2887	2059	457	30	61	1928	296	17500	4200	500	950	94	95	10.5	35	11951	79
2	604	452	295	15	47	690	222	9888	4502	400	1000	64	77	12.1	39	8741	75
2	4856	2492	727	46	75	2649	25	19510	5565	500	750	95	98	10.5	45	15494	93
2	1432	888	317	29	58	1121	493	10860	5760	550	900	56	62	12.9	23	8604	96
2	511	411	186	23	51	1692	562	12224	4440	450	1000	63	87	11.5	32	7315	77
1	9478	6312	2194	29	65	15646	1829	8412	4180	470	1800	87	89	19.2	10	7850	59
2	314	158	132	10	28	690	5346	8294	3700	400	900	87	87	15.3	2	5015	37
2	281	266	139	13	29	1049	181	10500	3750	450	950	69	75	12.8	18	6955	45
2	688	497	144	30	75	641	101	10800	4440	570	1515	55	60	13.1	13	8415	55
2	1538	1329	383	33	68	1140	10	15248	4323	550	800	71	76	12.2	31	10340	64
2	585	508	153	12	30	460	536	12292	4934	500	500	61	61	22.2	10	8643	72
