"Private"	"Apps"	"Accept"	"Enroll"	"Top10perc"	"Top25perc"	"F.Undergrad"	"P.Undergrad"	"Outstate"	"Room.Board"	"Books"	"Personal"	"PhD"	"Terminal"	"S.F.Ratio"	"perc.alumni"	"Expend"	"Grad.Rate"
2	578	411	187	25	50	880	477	6930	3452	400	1525	57	64	11	11	6383	32
2	6397	4304	1092	40	84	4298	132	18700	5580	750	1130	96	99	12.5	43	14665	91
2	1179	780	290	38	64	1130	638	9690	4785	600	1000	60	84	13.3	21	7940	74
2	592	501	279	19	44	1204	392	6400	3484	600	1800	80	83	14.5	10	7936	43
2	6756	1930	871	78	96	3376	55	18624	6664	550	300	97	98	5.9	21	30639	99
2	601	396	203	1	20	525	323	11230	6643	2340	620	8	58	6.8	4	13025	47
2	4044	2826	688	51	83	2738	138	16230	4500	630	1800	79	86	15	17	11217	63
2	464	419	183	10	31	686	287	9240	3880	475	1090	29	49	7.2	17	9431	47
2	696	616	169	35	66	653	56	13970	6110	370	920	88	97	9.2	24	16358	68
1	1800	1253	560	44	85	3876	3588	6634	4360	600	2604	82	85	17.8	14	6104	47
2	1092	890	477	27	92	847	497	8670	4180	500	1450	42	58	11.3	33	5738	68
2	3821	2037	680	86	96	2488	625	18200	6770	500	700	95	98	11.6	13	16185	66
2	1386	1060	320	28	56	965	502	13850	4755	400	1125	84	84	12.3	30	8196	85
1	14939	11652	5705	52	88	25422	911	7560	4574	500	1982	87	90	17.4	13	8559	81
1	5891	4931	1973	23	48	11249	2682	6746	3728	620	2342	78	83	21.7	7	6157	41
1	6574	4637	2940	32	62	14782	1583	9057	3485	600	1983	87	87	12.7	15	10145	58
2	938	864	511	29	62	1715	103	12247	4221	500	600	70	88	13.1	26	8847	72
2	4226	3666	2007	14	60	7703	2339	5094	4010	700	1560	77	86	16.6	10	6203	50
2	1243	947	324	50	77	1129	74	17163	3891	525	975	76	92	10.1	57	13965	77
2	7259	5526	1368	23	52	5612	166	14424	6192	634	1000	58	79	11.5	25	9812	75
2	1480	1257	452	6	25	2961	572	9850	6050	850	920	10	68	15.4	8	17858	64
2	785	647	295	15	65	1670	726	10860	4624	600	794	87	100	13.7	15	8953	55
2	875	744	207	7	38	1173	1402	9700	4830	400	1200	45	90	14.5	10	7652	66
2	152	128	75	17	41	282	22	9100	3700	500	1400	48	48	8.5	26	8960	50
1	368	344	212	5	27	863	189	4286	2570	600	2000	39	41	14.9	25	4958	40
2	8766	5498	1243	56	75	5071	438	17840	6582	500	882	93	99	5.9	23	26037	80
2	1154	1050	395	12	31	2192	1423	10560	4520	500	1200	36	48	14.3	10	7701	61
2	2057	1807	828	26	53	4106	982	11712	4037	500	800	80	80	13.8	13	8546	89
1	1797	1260	938	24	35	6960	4698	4440	5175	750	2200	96	96	6.7	16	16352	33
2	484	386	141	6	28	590	1196	9870	4860	600	1100	59	59	12.2	19	6744	81
2	2768	2314	682	49	86	2802	86	15884	5370	530	730	92	94	15.2	34	10774	82
2	2762	2279	533	32	60	1835	14	16900	4720	500	600	88	97	11.6	45	12423	81
1	3224	2519	1057	11	31	5000	706	6390	2380	110	1622	67	78	14.6	9	6554	55
2	996	866	377	29	58	1411	72	12065	3615	430	685	62	78	12.5	41	8596	80
2	325	284	95	16	33	364	88	9900	3650	500	1200	32	37	13.6	43	6525	21
2	2186	1924	512	16	29	2683	1227	12280	6450	750	1500	29	30	12.2	16	10527	56
2	927	731	415	24	50	2149	2217	11130	3996	600	2166	72	79	13.5	14	10891	51
2	2491	1110	573	57	88	2213	35	5224	3048	525	350	65	65	18.4	18	4957	100
2	502	384	104	11	28	347	74	6200	2900	600	800	63	63	11.7	13	7623	35
2	3550	1877	653	53	87	2164	77	18920	5950	600	800	90	98	9.7	39	17089	90
2	1456	1053	381	20	45	500	541	10910	5160	400	1795	66	72	15.6	37	7649	87
2	657	537	113	37	90	1039	466	12474	5678	630	1278	53	71	11.9	19	10613	72
1	8384	5727	2710	22	50	13518	2916	7230	5088	630	3228	82	84	10	6	13883	34
1	1877	1826	823	49	77	3926	561	9057	3600	700	1435	88	88	14.4	23	9699	49
1	2225	1910	1190	29	55	5968	955	4738	3110	700	940	72	76	20.2	27	5972	52
1	9167	7191	2738	24	53	15739	4278	6940	4100	500	1700	80	84	24.7	11	5983	55
2	257	183	109	19	41	396	38	7850	3410	400	1500	55	70	10	15	7233	53
2	7654	5259	1254	62	93	4879	1274	18350	5775	768	1512	91	98	3.9	31	45702	90
2	1013	888	288	55	82	943	7	11850	4270	600	900	95	99	11.4	60	13118	74
2	1758	1485	419	27	58	2041	174	12040	4100	600	1100	92	96	13.2	17	9060	72
2	823	721	274	52	87	954	6	8800	3195	500	1200	82	99	13.1	26	8588	63
2	1769	1092	437	41	80	1757	81	10965	4000	450	1250	60	61	14.2	32	8294	98
1	14596	5985	3331	75	92	14609	1100	8400	4200	550	1200	88	93	8.9	23	15893	83
1	2442	2164	1189	12	37	5983	1075	4426	2664	600	1000	76	81	18.1	19	4795	60
1	5803	4441	1730	19	62	10099	3255	7248	3109	600	1900	79	91	16.8	7	6227	62
2	546	447	189	16	42	873	683	11138	4138	600	1200	40	74	14	7	8820	80
2	4731	3171	830	12	31	3557	658	10700	5925	550	1200	74	81	17.6	34	8408	69
1	7811	3817	1650	47	73	12911	1404	7380	4877	612	2091	72	81	19.8	13	8453	59
1	12512	6969	1724	27	66	9744	1351	6550	4712	600	1200	91	96	10.5	7	13705	57
1	10706	7219	2397	12	37	14826	1979	7799	3296	470	1750	73	78	17.3	11	6086	56
2	2013	1053	212	33	61	912	158	5150	3036	500	1655	64	74	10.5	11	7547	59
1	4540	3294	1483	5	60	13494	1254	7706	4368	600	1926	90	90	21.2	8	7268	61
2	1998	1376	651	41	88	1539	45	6700	3650	500	2307	52	52	14.1	12	7566	61
2	2096	1512	465	27	59	1442	166	16130	4710	400	800	83	86	13.9	37	10554	90
2	3207	1577	490	56	87	1892	7	17142	4190	450	1200	85	97	11.3	51	14664	84
2	4186	1245	526	81	96	1988	29	19629	5790	500	1200	94	99	9	64	22014	99
1	787	601	233	40	73	1017	411	5376	3214	600	1100	99	100	13.7	11	9241	34
2	2694	1579	489	75	93	1870	12	19292	3957	550	550	81	93	10.4	60	17960	91
1	2957	1423	691	10	30	3817	1394	3946	4800	400	1500	63	67	14.9	10	8367	26
2	261	192	111	15	36	453	266	9690	4300	500	500	57	77	9.7	35	9337	71
1	233	233	153	5	12	658	58	4486	2516	600	1900	68	68	15.7	11	6971	51
2	2362	2037	700	40	68	2607	148	13130	4650	500	1600	77	81	10.9	29	9511	83
2	792	649	186	56	87	769	377	12900	4340	600	4110	91	95	13.1	27	8568	67
2	5152	4600	1685	36	71	7016	804	11610	4760	600	1950	86	94	13.5	25	9982	77
1	4681	4101	1436	10	35	8094	1596	4620	3288	300	2250	69	80	19.7	4	5501	50
2	2643	1611	465	36	80	2615	248	13332	6354	630	1584	88	89	16.1	17	9619	78
2	344	264	97	11	42	500	331	12600	5520	630	2250	77	80	10.4	7	9773	43
2	2139	1492	502	24	64	2186	2171	12350	5370	500	1350	88	86	12.6	19	9603	63
2	979	743	259	25	46	1188	166	10100	4000	400	1000	88	92	12	20	8539	66
1	6855	5553	2408	26	57	11036	2011	8907	4697	556	1851	89	95	10.8	6	13889	54
2	3294	2855	956	44	67	4576	1140	11690	4730	800	6800	84	94	4.6	19	18367	67
2	2961	1932	628	24	68	2669	616	10800	5100	575	1090	71	82	14.1	42	8189	100
2	392	351	155	16	44	738	430	10260	3597	600	1500	39	66	13.1	26	8355	58
2	1561	1188	458	48	72	1548	840	13380	4210	500	900	89	91	17.8	34	8747	81
2	604	562	328	25	50	1048	56	9800	2650	450	2800	61	60	12.5	17	7325	87
2	3767	3414	1061	30	58	4531	643	10870	4440	2000	1522	75	81	14.4	21	7671	85
2	1465	1006	188	10	30	703	20	4450	2522	500	1200	43	43	22.9	3	5861	58
1	4192	3126	1656	15	45	5887	1254	8828	3474	753	2610	79	91	19	11	6393	53
2	450	405	194	17	34	614	388	13900	5200	450	2150	46	63	10.9	17	9995	59
2	2707	1881	478	14	34	1893	847	12480	5290	530	1740	70	85	14.2	15	9492	54
2	2306	1721	538	23	48	4309	549	13226	6452	750	2450	86	86	13.6	8	10074	62
1	4418	2737	2049	23	51	14047	5134	4104	3579	450	1700	86	94	22.6	6	5657	35
2	7875	5062	1492	38	71	5471	1470	17450	6328	700	950	92	93	7.6	15	14745	72
2	974	704	290	5	22	1145	39	12520	3860	1300	700	16	59	7.5	9	11641	57
1	4269	2594	985	27	57	6476	2592	8594	4408	494	2768	82	88	18.4	6	7618	55
2	3768	2662	753	42	64	3558	436	13592	5916	545	1328	84	88	14.2	10	11677	84
2	737	614	242	21	67	968	237	10425	3975	500	1500	61	77	14.7	34	8693	76
2	1006	837	317	33	65	1024	15	8200	3485	500	1200	84	84	10.6	26	9248	64
1	4809	3089	1429	12	33	6162	871	6806	1780	600	1651	72	72	16.7	9	7090	44
1	1801	1101	438	14	50	3065	363	6297	4600	600	1323	75	78	18.1	14	8355	68
2	1217	1088	496	36	69	1773	884	11505	3255	1000	2075	35	46	16.7	23	7140	67
1	8399	3609	656	19	53	4658	1478	6550	4240	550	1500	85	93	15.3	8	6608	53
2	831	538	224	15	35	840	325	5170	3430	600	1590	61	61	16.1	10	5531	60
2	3934	2735	886	40	70	3698	217	13600	5940	630	1820	93	96	15.6	13	10813	66
2	1646	1150	542	12	30	2128	82	5188	3396	650	2500	48	48	13.8	9	6817	58
2	1121	926	372	43	70	1270	160	12660	4500	678	2424	80	80	16.9	20	8328	80
2	1457	1045	345	27	50	1109	502	14990	4980	450	550	77	98	21.5	21	7502	64
2	809	687	428	20	43	1889	217	10178	4190	800	750	71	71	16.1	19	7895	54
2	861	609	215	10	27	1117	815	8650	5700	500	1750	69	73	16.1	13	6534	67
1	3971	3306	1921	10	34	11493	2206	4259	2625	350	1884	70	75	18.9	10	4629	58
1	1351	892	570	18	78	2385	331	4440	3030	300	600	72	72	18.9	8	5883	51
2	798	620	238	14	41	1165	1232	9800	4430	400	1150	46	46	11.1	35	6889	100
1	1801	1655	819	13	38	3224	436	5840	3138	400	2430	76	76	19.1	8	5039	43
1	9402	7020	2151	20	70	16407	5550	8384	5110	612	2400	87	93	19.5	7	7930	41
1	2397	2144	1525	22	45	6720	1822	3957	2325	618	1656	66	77	20	13	4546	45
1	8598	4562	1143	56	93	5060	146	6550	4170	600	650	79	84	19.1	25	5716	76
2	2799	2573	839	34	65	3322	726	13420	4770	560	1675	88	93	15	24	9473	77
2	995	789	398	26	47	1306	122	6230	3526	400	600	42	44	13	4	8189	63
2	379	341	265	10	36	1050	151	4950	2780	530	1500	62	62	15.7	7	5619	38
2	4302	992	418	83	96	1593	5	19760	5300	660	1598	93	98	8.4	63	21424	100
2	497	452	231	24	47	887	1957	9400	4005	500	1000	49	65	17.2	25	4054	57
